t,px1,px2,px3,px4,nx1,nx2,nx3,nx4,py1,py2,py3,py4,ny1,ny2,ny3,ny4,pz1,pz2,pz3,pz4,nz1,nz2,nz3,nz4,sx,sy,sz,sx_unit,sy_unit,sz_unit
56,0,0,0,0,0.965925826,0.612372436,0.965925826,0.612372436,0,0,0,0,0,0,0,0,0,0,0,0,0.612372436,0.965925826,0.612372436,0.258819045,-1,0,-1,-0.707106781,0,-0.707106781
57,0,0,0,0,0.98859975,0.676252226,0.98859975,0.676252226,0,0,0,0,0,0,0,0,0,0,0,0,0.541001781,0.931436186,0.541001781,0.150567376,-1,0,-0.8,-0.780868809,0,-0.624695048
58,0,0,0,0,0.999858535,0.742610657,0.999858535,0.742610657,0,0,0,0,0,0,0,0,0,0,0,0,0.445566394,0.874312857,0.445566394,0.016819931,-1,0,-0.6,-0.857492926,0,-0.514495755
59,0,0,0,0,0.989779739,0.804084401,0.989779739,0.804084401,0,0,0,0,0,0,0,0,0,0,0,0,0.32163376,0.785872106,0.32163376,-0.142604585,-1,0,-0.4,-0.928476691,0,-0.371390676
60,0,0,0,0,0.947265843,0.849207776,0.947265843,0.849207776,0,0,0,0,0,0,0,0,0,0,0,0,0.169841555,0.660131893,0.169841555,-0.320448783,-1,0,-0.2,-0.980580676,0,-0.196116135
61,0,0,0,0,0.866025404,0.866025404,0.866025404,0.866025404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0
62,0,0,0,0,0.751149708,0.849207776,0.751149708,0.849207776,0,0,0,0,0,0,0,0,0.169841555,-0.320448783,0.169841555,0.660131893,0,0,0,0,-1,0,0.2,-0.980580676,0,0.196116135
63,0,0,0,0,0.618389063,0.804084401,0.618389063,0.804084401,0,0,0,0,0,0,0,0,0.32163376,-0.142604585,0.32163376,0.785872106,0,0,0,0,-1,0,0.4,-0.928476691,0,0.371390676
64,0,0,0,0,0.48536278,0.742610657,0.48536278,0.742610657,0,0,0,0,0,0,0,0,0.445566394,0.016819931,0.445566394,0.874312857,0,0,0,0,-1,0,0.6,-0.857492926,0,0.514495755
65,0,0,0,0,0.363904702,0.676252226,0.363904702,0.676252226,0,0,0,0,0,0,0,0,0.541001781,0.150567376,0.541001781,0.931436186,0,0,0,0,-1,0,0.8,-0.780868809,0,0.624695048
66,0,0,0,0,0.258819045,0.612372436,0.258819045,0.612372436,0,0,0,0,0,0,0,0,0.612372436,0.258819045,0.612372436,0.965925826,0,0,0,0,-1,0,1,-0.707106781,0,0.707106781
67,0,0,0,0,0.956409084,0.536325058,0.956409084,0.676353067,-0.228802208,0.471337834,0.471337834,-0.228802208,0,0,0,0,0,0,0,0,0.676353067,0.956409084,0.536325058,0.256269042,-1,0.2,-1,-0.700140042,0.140028008,-0.706824108
68,0,0,0,0,0.976759805,0.59100143,0.976759805,0.74530478,-0.174976079,0.519388996,0.442237321,-0.252127754,0,0,0,0,0,0,0,0,0.611674159,0.920280859,0.457370809,0.148764109,-1,0.2,-0.8,-0.77151675,0.15430335,-0.624390541
69,0,0,0,0,0.985471331,0.647409629,0.985471331,0.81644048,-0.107161265,0.568962138,0.399931287,-0.276192116,0,0,0,0,0,0,0,0,0.523670458,0.86173216,0.354639607,0.016577905,-1,0.2,-0.6,-0.845154255,0.169030851,-0.514193378
70,0,0,0,0,0.973143601,0.699282322,0.973143601,0.881856508,-0.024460303,0.614549348,0.340688069,-0.298321582,0,0,0,0,0,0,0,0,0.407514859,0.772663231,0.224940673,-0.140207699,-1,0.2,-0.4,-0.912870929,0.182574186,-0.37113481
71,0,0,0,0,0.929558378,0.737108288,0.929558378,0.929558378,0.070441622,0.647791891,0.262891712,-0.314458558,0,0,0,0,0,0,0,0,0.262891712,0.647791891,0.070441622,-0.314458558,-1,0.2,-0.2,-0.962250449,0.19245009,-0.19596545
72,0,0,0,0,0.849207776,0.751149708,0.849207776,0.947265843,0.169841555,0.660131893,0.169841555,-0.320448783,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.2,0,-0.980580676,0.196116135,0
73,0,0,0,0,0.737108288,0.737108288,0.737108288,0.929558378,0.262891712,0.647791891,0.070441622,-0.314458558,0,0,0,0,0.262891712,-0.314458558,0.070441622,0.647791891,0,0,0,0,-1,0.2,0.2,-0.962250449,0.19245009,0.19596545
74,0,0,0,0,0.607995229,0.699282322,0.607995229,0.881856508,0.340688069,0.614549348,-0.024460303,-0.298321582,0,0,0,0,0.407514859,-0.140207699,0.224940673,0.772663231,0,0,0,0,-1,0.2,0.4,-0.912870929,0.182574186,0.37113481
75,0,0,0,0,0.478378778,0.647409629,0.478378778,0.81644048,0.399931287,0.568962138,-0.107161265,-0.276192116,0,0,0,0,0.523670458,0.016577905,0.354639607,0.86173216,0,0,0,0,-1,0.2,0.6,-0.845154255,0.169030851,0.514193378
76,0,0,0,0,0.359546405,0.59100143,0.359546405,0.74530478,0.442237321,0.519388996,-0.174976079,-0.252127754,0,0,0,0,0.611674159,0.148764109,0.457370809,0.920280859,0,0,0,0,-1,0.2,0.8,-0.77151675,0.15430335,0.624390541
77,0,0,0,0,0.256269042,0.536325058,0.256269042,0.676353067,0.471337834,0.471337834,-0.228802208,-0.228802208,0,0,0,0,0.676353067,0.256269042,0.536325058,0.956409084,0,0,0,0,-1,0.2,1,-0.700140042,0.140028008,0.706824108
78,0,0,0,0,0.92946256,0.453172888,0.92946256,0.725338414,-0.104504648,0.575909169,0.575909169,-0.104504648,0,0,0,0,0,0,0,0,0.725338414,0.92946256,0.453172888,0.249048742,-1,0.4,-1,-0.680413817,0.272165527,-0.702624284
79,0,0,0,0,0.943639621,0.496426026,0.943639621,0.794568423,-0.039943507,0.630876886,0.556341287,-0.114479107,0,0,0,0,0,0,0,0,0.665468978,0.889075776,0.367326581,0.143719783,-1,0.4,-0.8,-0.745355992,0.298142397,-0.619875727
80,0,0,0,0,0.94577149,0.540217938,0.94577149,0.86466078,0.037643612,0.686529296,0.524307875,-0.124577809,0,0,0,0,0,0,0,0,0.583685036,0.827017168,0.259242194,0.015910062,-1,0.4,-0.6,-0.811107106,0.324442842,-0.50972075
81,0,0,0,0,0.927856017,0.579700705,0.927856017,0.927856017,0.127433689,0.736705484,0.475589001,-0.133682795,0,0,0,0,0,0,0,0,0.475589001,0.736705484,0.127433689,-0.133682795,-1,0.4,-0.4,-0.87038828,0.348155312,-0.367359179
82,0,0,0,0,0.881856508,0.607995229,0.881856508,0.973143601,0.224940673,0.772663231,0.407514859,-0.140207699,0,0,0,0,0,0,0,0,0.340688069,0.614549348,-0.024460303,-0.298321582,-1,0.4,-0.2,-0.912870929,0.365148372,-0.193746065
83,0,0,0,0,0.804084401,0.618389063,0.804084401,0.989779739,0.32163376,0.785872106,0.32163376,-0.142604585,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.4,0,-0.928476691,0.371390676,0
84,0,0,0,0,0.699282322,0.607995229,0.699282322,0.973143601,0.407514859,0.772663231,0.224940673,-0.140207699,0,0,0,0,0.340688069,-0.298321582,-0.024460303,0.614549348,0,0,0,0,-1,0.4,0.2,-0.912870929,0.365148372,0.193746065
85,0,0,0,0,0.579700705,0.579700705,0.579700705,0.927856017,0.475589001,0.736705484,0.127433689,-0.133682795,0,0,0,0,0.475589001,-0.133682795,0.127433689,0.736705484,0,0,0,0,-1,0.4,0.4,-0.87038828,0.348155312,0.367359179
86,0,0,0,0,0.459107227,0.540217938,0.459107227,0.86466078,0.524307875,0.686529296,0.037643612,-0.124577809,0,0,0,0,0.583685036,0.015910062,0.259242194,0.827017168,0,0,0,0,-1,0.4,0.6,-0.811107106,0.324442842,0.50972075
87,0,0,0,0,0.347354827,0.496426026,0.347354827,0.794568423,0.556341287,0.630876886,-0.039943507,-0.114479107,0,0,0,0,0.665468978,0.143719783,0.367326581,0.889075776,0,0,0,0,-1,0.4,0.8,-0.745355992,0.298142397,0.619875727
